clean_text_fin,setiment
metso expect net sale increase comparable exchange rate,2
real generate turnover eur bn employee,1
neste oil corp sign long term procurement contract honkajoki oy findest protein oy own finnish food manufacturer supply animal fat biodiesel production neste b cd porvoo finland refinery,2
net interest income increase eur mn eur mn,2
net interest income eur mn eur mn,2
net interest income eur mn eur mn,2
net sale vegetable oil business rise eur mn eur mn,2
nokia multimedia net sale total eur bn correspond period,2
operate income rise eur mn eur mn,2
operating profit kauppalehti group rise eur mn eur mn marketplace eur mn eur mn third quarter,2
operating profit rise eur mn eur mn,2
operating profit rise mln eur mln,2
operating profit rise eur mn eur mn correspond period,2
operating profit rise eur mn eur correspond period,2
operating profit rise eur mn eur mn correspond period,2
operating profit rise eur mn eur mn correspond period,2
operating profit rise eur mn eur mn,2
operating profit rise eur mn eur mn correspond period,2
operating profit rise eur mn eur mn,2
operating profit rise eur mn eur mn,2
operating profit rise eur mn eur mn correspond period,2
operating profit rise eur eur year earlier,2
operating profit surge eur eur,2
operating profit total eur mn slightly eur mn correspond period,2
operating profit total eur mn eur mn,2
operating profit eur mn eur mn,2
operating profit eur mn eur mn,2
order intake grow year year year year respectively eur million eur billion respective january september july september period,2
order receive grow year year eur,2
orion pharma operating profit increase,2
passenger volume rise accounting period,2
passenger related revenue rise eur mn eur mn,2
press release october ruukki sign contract deliver install steel structure bridge kyronsalmi strait savonlinna finland,2
pretax profit rise eur mn eur mn correspond period,2
pretax profit rise eur mn eur correspond period,2
pretax profit rise eur mn eur mn,2
pre tax profit total eur mn eur mn,2
previously company guide ebit sale growth pct pct respectively year,2
previously company estimate operating profit reach level,2
profit period total eur mn eur mn corresponding period,2
profit period eur mn eur mn,2
profit period eur mn eur mn,2
revenue grow percent x ac billion u billion,2
revenue july september grow percent euro million year earlier company say thursday,2
revenue time grow percent million euro,2
ruukki sign contract deliver install steel structure bridge kyronsalmi strait savonlinna finland,2
sale latin america increase eur mn total mn mobile device sell area represent increase corresponding period,2
sale clothing develop best,2
sanoma magazine finland net sale grow eur mn eur mn,2
satama net profit third quarter rise euro euro period,2
section regional news demand finnair asian traffic measure passenger kilometer august compare last year,2
svyturys utenos alus control nordic group baltic beverage hold bbh post percent growth beer sale january september million liter,2
would increase estimate sale million last year,2
agreement expand tekla structure scope use bridge design,2
aim increase sale least one fifth,2
chain post sale million euro full rise percent year year,2
company expect net sale increase,2
company expect net sale first half reach previous year level,2
company process build new fleet place order p max tanker dwt,2
company operate income ebit total eur mn eur mn year year,2
eps outlook increase pct pct,2
fair value investment property total eur mn eur mn,2
finnish government announce wednesday sell percent stake chemical fertilizer group kemira oyj x ac million u million send company share price percent,2
firm generate sale mln eur,1
german company also sign code share agreement another oneworld member american airline inc part u base amr corp nyse amr,2
helsinki base company also own salomon atomic suunto brand say net profit rise percent three month dec x ac million u million x ac million year earlier,2
increase capital stock register finnish trade register november,2
operating profit grain trading increase eur mn eur mn,2
stock rise second day wednesday bring two day rise gbx,2
stock rise third day tuesday bring three day rise gbx,2
transaction line aspo strategy expand baltic sea region eastern market,2
transaction would increase earnings per share first quarter eur,2
recovery base metal price increase demand metal china however,2
new representation extend comptel global presence total country serve customer country worldwide,2
tietoenator use nokia intellisync mobile suite wireless email calendar device management capability company extend service customer,2
total operating revenue grow year year eur,2
vacon cash flow operation grow eur mn eur mn year ago,2
vacon supply drive ruselprom power range kw mw,1
also strengthen exist partnership cybercom say teleste cto esko myllyla,2
via satlan acquisition teleste plan expand market presence video service partner cable operator broadcaster iptv service provider,2
acquisition company expand offer north central south america say,2
extension new contract eight engine plant produce mw say,2
yit say acquisition part strategy expansion central eastern european market,2
basware product sale grow strongly financial period percent,2
second quarter firstquarter growth net sale since third quarter say magnus rosen ramirent ceo,2
transaction strengthen position design brand good say fiskars president ceo heikki allonen point two group relatively overlap operation,2
february finnish textile clothing company marimekko oyj hel mmo v say today preliminary operating profit grow eur eur,2
finnish componenta publish new long term strategy period aim grow together customer,1
finnish larox sign contract talvivaara project delivery filter talvivaara nickel mine sotkamo finland,2
affecto expect net sale whole increase level reach eur million,2
cash flow operation rise eur mn eur mn,2
commission income rise eur mn eur mn,2
componenta objective agreement increase business exist production line,2
earnings per share january june eur increase year year eur,2
earnings per share eps rise eur eur,2
elisa say mobile subscription grow percent mainly customer adopt call third generation mobile technology,2
eps quarter come eur eur year ago ahead forecast eur,2
eps grow eur eur,2
export grow percent million liter,2
finnish investment group panostaja oyj say net profit go mln euro mln fiscal end october mln euro mln period fiscal,2
finnish metal component supplier componenta oyj say net profit go mln euro mln mln euro mln,2
finnish silicon wafer technology company okmetic oyj omx helsinki okm v report thursday october operating profit eur january september eur correspond period,2
fiskars brand report net sale eur mn eur mn,2
geosentric oyj geosolutions business unit gypsii mobile digital lifestyle application geo mobility social networking platform sign agreement nanjing mynet make gypsii mobile social networking platform available customer china mobile,2
helsinki afx outokumpu technology say sign mln eur agreement mongolia erdenet mining corporation engineering first hydrocopper plant build erdenet mine site,2
however proportion pay stand order grow,2
addition demand finland export line stone product also increase,2
january september group net sale continue operation rise eur mn eur mn correspond period,2
july september yit net sale increase eur mn compare eur mn correspond period,2
report period net sale rise year year eur due business acquisition realize first half effect eur review period,2
report period company operating profit grow eur million,2
last year net sale rise eur million eur million,2
last year company raise turnover approximately million litas eur mln million litas,2
adp news nov finnish ac drive manufacturer vacon oyj omx vac v say today set new representative office romania ukraine serve grow market eastern southeastern europe,2
marimekko group full year net sale estimate increase,2
net sale surge eur million,2
net sale go year year eur million affect business acquisition realize previous financial period effect eur million review period,2
nevertheless market share rise percent percent year earlier,2
nokia world large mobile phone manufacturer china postel china large mobile phone distributor long stand partnership continue grow strong time,2
october december sale mln eur pct increase year year,2
olvi control percent stake ragutis le coq say annual report publish earlier year lithuanian brewery sale reach million euro last year rise percent million euro,2
olvi expect sale market share increase first quarter,2
olvi target strengthen market share soft drink mineral water cider long drink energy drink,1
operating profit increase eur mn eur mn correspond period,2
operating profit asian plant grow markedly,2
operating profit total eur mn eur mn,2
operating profit total eur mn eur mn year year,2
production capacity increase tonne per year raw material continue recycle paper board,2
profit period increase eur mn eur mn,2
profit per share eur eur,2
return capital employ rise percentage point,2
revenue july september grow percent euro billion finnish company say thursday,2
revenue grow percent euro million u million euro million,2
ruukki order book end year year quarter quarter,2
ruukki sign contract norwegian company veidekke entreprenor,2
sale finland rise international growth,2
sale security system packaging increase slightly,2
stora enso third quarter pre tax profit double eur mn,2
strong growth see new market russia czech republic slovakia,2
airline order nine airbus aircraft delivery become lead airline late variant roll royce trent series engine call,2
company intensify smelter operation increase annual production capacity tonne copper,2
company market share continue increase,2
company schedule traffic measure revenue passenger kilometres rpk grow nearly passenger carry scheduled flight february,2
company say investment new market area result sale increase sweden poland russia lithuania,2
disposal autotank also strengthen aspo capital structure comment gustav nyberg ceo aspo,2
earnings per share quarter come eur eur quarter year earlier,2
economic occupancy rate sponda property portfolio rise,2
finnish supplier bs os va telecom operator tecnotree receive expansion order worth total u mn convergent charge next generation message solution latin america company announce without specify operator place order,2
group month operating profit grow percent million euro,2
growth activeness talentum customer start end continue report period company state,2
growth net sale first half compare first half,2
pretax profit group life insurance business increase eur million eur million,2
pretax profit group life insurance business increase eur eur,2
total delivery volume paper business tonne tonne,2
value firm forestry holding increase sek bn,2
new deal strengthen partnership telemig celular tecnomen start since begin telemig prepay operation,2
turnover rise eur eur,2
xerox stora enso team tailor igen short run demand packaging market,2
yit construction town riihim æki sign lease contract whereby town occupy travel centre office facility,2
upgrade intend raise network capacity mhz mhz several city enable bi directional service digital television well broadband data,2
finnish company stockmann sign contract company technopolis,1
accord notice skandinaviska enskilda banken ab publ helsinki branch august divest total alma medium share ilkka yhtyma oyj kaleva kustannus oy condition agreement make company july fulfil,1
previously announce geosentric oyj enter financing agreement lead investor june enable company receive financing aggregate amount,1
time market automate liquid handling device already large pipette accord biohit,1
efore ceo reijo maihaniemi say company develop already deliver power supply unit respective system base technology chinese sector company zte corp,1
finnish talvivaara mining co hel tlv v say thursday pick bofa merrill lynch jpmorgan nyse jpm joint bookrunners plan issue convertible note worth eur usd,1
lead production turn increase tonne would twofold increase current capacity level zahariev say,2
lemminkainen oyj say sign credit agreement nordea bank sto nda pohjola bank hel poh sampo bank hel samas svenska handelsbanken sto shb,1
pohjola could increase stake,1
scandic feed also diversify tosno product portfolio,1
separately yit corporation austrian firm e ag last week sign agreement sale e build system service business germany austria poland czech republic hungary romania eur mln,2
agreement jm one series contract teliasonera sign recent month residential construction real estate management company sweden,1
company intend raise production capacity,2
estimate value contract eur vaisala headquarter helsinki finland develop manufacture electronic measurement system meteorology environmental science traffic industry,1
mall part baltic pearl development project city st petersburg baltic pearl cjsc subsidiary shanghai foreign joint investment company develop home people,1
new facility know technopolis pulkovo introduce russian market entirely new concept create operate grow commercially fund science technology park support growth knowledge intensive company,1
thereby company expand offer north central south america,2
member partner use mostly apparent increase efficiency result service observe perttu puro tradeka,2
vacon control company via investment fund power fund eur usd,1
order include wartsila order book second quarter company add,1
management decide end increase cathode copper capacity,1
complete name shareholder otto henrik bernhard nyberg information amount share transfer corresponds total number share aspo plc,1
data process unit collect data calculates rvr value provide data user via various interface,1
tinyurl link take user scamming site promise user earn thousand dollar become google nasdaq goog cash advertiser,0
alexandria va march pertti salmi hanna vuolteenaho oulu finland sami viitasaari ii finland develop ornamental design handset u patent trademark office announce,1
alexandria va oct markka oksanen harald kaaja helsinki finland juha salokannel kangasala finland arto palin viiala finland develop system provide communication security,1
earlier report nokian tyre build plant town vsevolozhsk russia leningrad region annual production capacity million tire,1
biohit inc expand mline family pipettors addition new ml volume range,1
capman finnish alternative asset manager make acquisition helsinki focus vehicle real estate fund fund buy seven story office build underwent refurbishment end,1
compare ftse index rise point day relative price change,0
compare ftse index rise point day relative price change,1
compare ftse index rise point day relative price change,0
delivery start later volume increase year,1
finland nokian tyre kazakhstan ordabasy corporation sign agreement build plant astana produce car tire ordabasy chairman dinmukhamet idrisov say press conference,2
finnish business software group affectogenimap oyj say sign agreement acquire share swedish sector company intellibis ab mln euro mln debt free basis,2
finnish heat retain fireplace maker tulikivi oyj say august local tile stove utility ceramic subsidiary kermansavi oy merge tulikivi mean absorption order streamline late corporate structure,1
finnish silicon wafer manufacturer okmetic oyj say june sign agreement nordea bank finland plc local subsidiary swedish commercial bank nordea bank ab refinance okmetic syndicate bank facility amount mln euro mln,2
furthermore bunge also sign license agreement sunnuntai carlshamn mejeri brand,2
german commerzbank ag hamburg branch u jp morgan nyse jpm participate arranger dutch ing am inga co arranger,1
april neste separate parent company finnish energy company fortum become listed helsinki stock exchange,1
russia raisio food division home market stretch way vladivostok,1
september finnish group agree buy danish company rise poultry eur combination cash stock,2
increase number share base option right grant management company stock option plan,1
plan expand product portfolio harbor segment chief executive pekka lundmark tell financial time deutschland,2
office worldwide pct net sale generate outside finland,1
branch finland annual revenue finland,1
kauko telko ltd press release telko group kauko telko expand strategic partnership bp industrial lubricant service bp il acquire total ownership bp swedish retail company molub alloy ab,2
milan afx italian ship group grimaldi increase stake finnish company finnlines pct pct hold june accord news agency ansa,1
nokia message enables customer receive e mail e mail account mobile phone support pop imap e mail service,1
production capacity rise gradually tonne tonne,2
ramirent danish subsidiary ramirent today sign agreement acquire business asset machinery rental company jydsk materiel udlejning locate west jutland,2
share repurchase helsinki stock exchange behalf sampo plc danske bank helsinki branch,1
solidium pick tikkurila share dividend book value eur per share,1
takoma carry transaction acquire entire share capital moventas parkano oy run factory parkano southern finland,1
agreement provide switch double converter capacity whilst open manufacturing location china,2
building owner developer sun hung kai property group one large property company hong kong develop type premium residential commercial project sale investment,1
company aim finalize negotiation sign contract start october,1
company sign letter intent sale september envisage seal actual agreement january,1
company also say november real estate fund ky sign agreement finnish window maker fenestra oy build window plant forssa southern finland,2
company commit expand apollo portfolio,2
contract sign yesterday run five year include two year extension option,1
contract cover installation train start service,1
contract value amount eur company add,1
contract sign acquire uranium produce sotkamo nickel zinc mine eastern finland own talvivaara,2
expand agreement cover sale marketing distribution benefon navigation locator device china,1
omx nordic omxn index comprise trade nordic stock nasdaq omx exchange close point wednesday,2
omx nordic omxn index comprise trade nordic stock nasdaq omx exchange close point friday,2
tietoenator sign agreement acquire indian research development r service provider turnkey software solution developer fortuna technology pvt ltd mln euro mln september,1
number one mean create add value stakeholder everything,1
term take agreement talvivaara cameco provide front investment maximum million cover construction cost uranium extraction circuit,2
vaisala oyj press release september vaisala sign contract sell oxygen measurement technology business sick maihak gmbh,2
beijing xfn asia hong kong listed standard charter bank say sign china mobile phone dealer financing agreement nokia make first foreign bank offer finance country small medium enterprise lr,2
provide summary medical equipment pipeline product company develop,1
course talk come new project involve material handling konecranes president ceo pekka lundmark say ask whether talk reliance industry supply equipment upcoming refinery jamnagar,1
lidskoe pivo investment program foresees integrate modernization production update transport logistics infrastructure develop new marketing instrument mikshis say,2
residentialconstruction particular pick several market,2
ruukki include djsi world second year run european djsi stoxx third year run,1
sale oxygen measurement business strengthens goal focus choose market segment,1
correspond increase euro ahlstrom share capital enter trade register today,1
august latvijas finieris order production line new green veneer mill build ukmerge central lithuania,1
finnish house manufacturer target strongly grow one family house market russia,1
transaction alma medium raise stake talentum share vote right,2
aldata say still number operational aspect define microsoft detail product market initiatives result agreement available later date,1
alexandria va july hannu kahonen juuka finland develop ornamental design handle fire pit door u patent trademark office announce,1
alexandria va may kenneth bower vista calif develop ornamental design handset u patent trademark office announce,1
large elevator market world chinese output elevator continue rise unit yr yr,2
aspocomp intend set plant manufacture print circuit board investment r crore,1
baltic pearl cjsc subsidiary shanghai foreign joint investment company develop project st petersburg comprise million square meter residential space two hospital several school nursery,1
biohit oyj develop manufacture market liquid handle product diagnostic test system use research healthcare industrial laboratory,1
call switchboard directory service decrease significantly since employee date contact information colleague customer phone place call directly,1
cargotec share capital increase total euros,1
cargotec share capital increase total eur,1
compare ftse index rise point day relative price change,2
componenta increase stake turkish steel company doktas dokumculuk ticaret sanayi pct stake march,2
earnings per share eps see eur eur,2
estonia beer market overall grow three percent last year million liter,2
finnish food company raisio oyj hel raivv say friday wrap divestment margarine operation u sector player bunge ltd nyse bg eur usd,1
finnish lifting equipment maker konecranes hel kcr v say july raise stake austrian manipulator maker ac konecranes buy german sector player knight europe,2
finnish paper maker upm kymmene corp monday announce sale wrap unit walki wisa capman investment group move concentrate core business,1
follow increase company eur tm capital total mln romanian lei mln mln euro,1
helsinki afx kci konecranes say raise stake mmh holding inc owner u base morris material handle pct pct,2
generated net sale eur million usd,1
august latvijas finieris order production line new green veneer mill build ukmerge lithuania,1
delivers different user experience enable u widen market address,2
jacob support storengy investment develop storage site since owner engineer,1
adpnews jun finnish stainless steel maker outokumpu oyj hel v say yesterday sign three year eur million usd bn revolve credit facility,2
increase net sale due acquisition swedish silva produce garden tool boat,2
mr ashley deputy executive chairman sport direct sell pc stake company pound time float,1